gene_id	module
ENSG00000050165.17	blue
ENSG00000133816.13	blue
ENSG00000133808.4	turquoise
ENSG00000187079.16	salmon
ENSG00000189431.7	grey
ENSG00000262655.3	blue
ENSG00000133818.13	turquoise
ENSG00000152270.8	brown
ENSG00000110693.17	turquoise
ENSG00000070081.15	turquoise
ENSG00000187486.5	turquoise
ENSG00000006071.12	turquoise
ENSG00000129159.7	greenyellow
ENSG00000129167.9	turquoise
ENSG00000255071.3	purple
ENSG00000134339.8	purple
ENSG00000173432.10	purple
ENSG00000151117.8	grey
ENSG00000129173.12	turquoise
ENSG00000166833.19	red
ENSG00000109854.13	turquoise
ENSG00000165973.18	grey
ENSG00000171714.10	grey
ENSG00000169550.12	turquoise
ENSG00000134343.12	grey
ENSG00000176971.3	blue
ENSG00000129151.8	turquoise
ENSG00000205213.13	red
ENSG00000121621.6	turquoise
ENSG00000066382.16	grey
ENSG00000170959.14	turquoise
ENSG00000049449.8	turquoise
ENSG00000184937.13	grey
ENSG00000135378.3	pink
ENSG00000110427.14	turquoise
ENSG00000085063.14	turquoise
ENSG00000166016.5	turquoise
ENSG00000135374.9	turquoise
ENSG00000135373.12	salmon
ENSG00000026508.17	grey
ENSG00000110436.11	turquoise
ENSG00000149090.11	black
ENSG00000179431.6	salmon
ENSG00000179241.12	brown
ENSG00000148948.7	blue
ENSG00000187479.5	pink
ENSG00000052850.5	black
ENSG00000085117.11	turquoise
ENSG00000175274.18	turquoise
ENSG00000019505.7	brown
ENSG00000175264.7	grey
ENSG00000121653.11	greenyellow
ENSG00000165905.17	turquoise
ENSG00000157613.10	blue
ENSG00000110492.15	salmon
ENSG00000134569.9	magenta
ENSG00000165912.15	salmon
ENSG00000066336.11	brown
ENSG00000086205.16	turquoise
ENSG00000134817.10	black
ENSG00000254979.5	turquoise
ENSG00000134802.17	turquoise
ENSG00000149150.8	turquoise
ENSG00000156587.15	cyan
ENSG00000149131.15	brown
ENSG00000255073.8	salmon
ENSG00000156689.6	turquoise
ENSG00000166840.13	turquoise
ENSG00000189057.10	turquoise
ENSG00000110042.7	turquoise
ENSG00000197629.5	brown
